epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.003,2.42078,4.24096,2.18496,0.00135,0.29688,0.0013,0.00041,2.52899,4.44447,2.47227,0.0001,0.0001,0.0001
2,21.4306,2.0351,3.33632,1.81617,0.0701,0.11719,0.04248,0.02159,1.94084,3.52217,1.76494,0.000217822,0.000217822,0.000217822
3,28.412,1.86546,2.48392,1.60822,0.03963,0.11719,0.01465,0.00495,2.32838,5.0303,2.57094,0.000333268,0.000333268,0.000333268
4,34.9727,1.79699,2.45631,1.60423,0.00675,0.00781,0.00468,0.00158,2.46965,32.1695,3.70921,0.000446338,0.000446338,0.000446338
5,41.6021,1.91097,2.36493,1.7906,0.00421,0.28125,0.00251,0.00102,2.4947,168.345,12.1882,0.000557032,0.000557032,0.000557032
6,48.1198,1.87864,2.25044,1.75349,0.00165,0.35938,0.0012,0.0005,nan,nan,nan,0.00066535,0.00066535,0.00066535
7,54.7192,1.85555,2.36775,1.79384,0.00057,0.125,0.00036,0.00011,nan,nan,nan,0.000771292,0.000771292,0.000771292
8,61.2458,1.9712,2.40728,1.85082,0.00032,0.07031,0.00018,5e-05,nan,nan,nan,0.000874858,0.000874858,0.000874858
9,67.7594,1.89144,2.20081,1.75941,0.00049,0.07812,0.00026,6e-05,nan,nan,nan,0.000976048,0.000976048,0.000976048
10,74.2577,2.01394,2.43665,1.81666,0.001,0.0625,0.00053,0.00014,nan,nan,nan,0.00107486,0.00107486,0.00107486
11,80.573,1.93097,2.26744,1.735,0.001,0.0625,0.00053,0.00014,nan,nan,nan,0.0011713,0.0011713,0.0011713
12,86.914,1.82626,2.00486,1.67921,0.001,0.0625,0.00053,0.00014,nan,nan,nan,0.00126536,0.00126536,0.00126536
13,93.2931,2.07207,2.08416,1.89596,0.00055,0.01562,0.00028,4e-05,nan,nan,nan,0.00135705,0.00135705,0.00135705
